City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
New Norfolk,20,AU,1580585555,62,-42.78,147.06,53.6,6.93
George Town,40,MY,1580585406,83,5.41,100.34,80.6,2.24
Hermanus,91,ZA,1580585557,74,-34.42,19.23,75.99,7.0
Barrow,20,US,1580585535,95,71.29,-156.79,-31.0,6.93
Huarmey,88,PE,1580585309,51,-10.07,-78.15,83.5,10.94
Kaitangata,100,NZ,1580585561,96,-46.28,169.85,56.19,13.98
Albany,90,US,1580585280,64,42.6,-73.97,39.99,4.7
Longyearbyen,75,SJ,1580585563,92,78.22,15.64,15.8,8.05
La Libertad,20,EC,1580585564,70,-2.23,-80.9,84.2,10.29
Hobart,20,AU,1580585288,62,-42.88,147.33,53.6,6.93
Bati,54,ET,1580585567,75,11.18,40.02,64.31,3.36
Bubaque,33,GW,1580585569,78,11.28,-15.83,78.13,17.22
Punta Arenas,75,CL,1580585272,47,-53.15,-70.92,59.0,21.92
Berlevag,100,NO,1580585571,82,70.86,29.09,20.71,22.06
Hithadhoo,90,MV,1580585572,69,-0.6,73.08,82.9,11.03
Solano,20,US,1580585573,93,38.23,-121.95,64.99,4.7
Lebu,100,CL,1580585574,87,-37.62,-73.65,63.9,6.82
Jamestown,75,US,1580585575,69,42.1,-79.24,35.01,3.36
Klaksvik,96,FO,1580585577,68,62.23,-6.59,32.0,2.24
Kenora,90,CA,1580585578,63,49.82,-94.43,30.2,12.75
Pochutla,40,MX,1580585579,55,15.74,-96.47,89.6,7.99
Tarija,40,BO,1580585580,53,-21.54,-64.73,77.0,8.05
Prien,1,US,1580585581,27,30.18,-93.27,64.4,14.99
Ushuaia,75,AR,1580585534,62,-54.8,-68.3,55.4,27.51
Upernavik,100,GL,1580585584,93,72.79,-56.15,-19.08,11.63
Thompson,90,CA,1580585586,78,55.74,-97.86,15.8,9.17
Baie-Comeau,90,CA,1580585587,85,49.22,-68.15,24.01,2.21
Dunhua,0,CN,1580585588,88,43.37,128.24,-0.72,4.61
Laas,40,IT,1580585589,80,46.62,10.7,37.4,4.7
Rikitea,100,PF,1580585590,79,-23.12,-134.97,79.47,12.33
Esperance,90,AU,1580585591,72,-33.87,121.9,60.8,3.36
Bredasdorp,36,ZA,1580585592,73,-34.53,20.04,72.0,13.87
Kokopo,66,PG,1580585593,75,-4.35,152.26,83.12,16.26
Acapulco de Juarez,75,MX,1580585426,43,16.86,-99.89,87.8,8.05
Mataura,100,NZ,1580585596,94,-46.19,168.86,59.0,17.0
Saskylakh,5,RU,1580585597,93,71.92,114.08,-29.61,5.82
Tessalit,0,ML,1580585598,13,20.2,1.01,71.17,8.1
College,1,US,1580585599,82,64.86,-147.8,-18.99,1.63
Nuuk,75,GL,1580585600,78,64.18,-51.72,14.0,9.17
Dargaville,46,NZ,1580585601,67,-35.93,173.88,73.81,8.08
Arraial do Cabo,40,BR,1580585603,74,-22.97,-42.03,86.0,8.05
Kapaa,75,US,1580585605,88,22.08,-159.32,73.4,12.75
Niquelandia,64,BR,1580585606,77,-14.47,-48.46,78.51,2.57
Qaanaaq,67,GL,1580585607,88,77.48,-69.36,-24.86,5.35
Weihe,81,CN,1580585608,54,33.0,105.32,30.69,7.96
Okhotsk,80,RU,1580585610,53,59.38,143.3,-6.47,2.24
Vaini,20,TO,1580585611,78,-21.2,-175.2,78.8,10.29
Chui,0,UY,1580585614,61,-33.7,-53.46,76.46,14.38
Port Alfred,60,ZA,1580585615,94,-33.59,26.89,72.0,1.01
Maningrida,100,AU,1580585616,81,-12.07,134.27,82.49,15.5
Zakamensk,0,RU,1580585617,92,50.37,103.29,-19.79,2.73
Saint-Philippe,20,RE,1580585618,78,-21.36,55.77,78.8,14.99
Tizimin,90,MX,1580585620,65,21.15,-88.15,78.8,17.22
Cape Town,47,ZA,1580585402,88,-33.93,18.42,71.01,18.34
Garoowe,74,SO,1580585622,63,8.41,48.48,70.14,13.85
Hong Kong,20,HK,1580585456,77,22.29,114.16,63.0,16.11
Ahipara,0,NZ,1580585625,100,-35.17,173.17,66.99,11.65
Ilulissat,75,GL,1580585626,65,69.22,-51.1,6.8,6.93
Yellowknife,20,CA,1580585627,75,62.46,-114.35,-11.99,6.93
Maunabo,1,PR,1580585628,70,18.01,-65.9,84.2,11.41
Hokitika,100,NZ,1580585629,88,-42.72,170.97,64.36,21.39
Henties Bay,23,NA,1580585630,89,-22.12,14.28,63.0,3.0
Puerto Ayora,20,EC,1580585631,66,-0.74,-90.35,84.2,19.46
Plover,75,US,1580585633,69,44.46,-89.54,37.99,8.05
Atambua,98,ID,1580585634,86,-9.11,124.89,74.21,3.02
Ariquemes,33,BR,1580585635,66,-9.91,-63.04,87.21,2.66
Belle Fourche,1,US,1580585636,21,44.67,-103.85,66.99,20.8
Saint Anthony,75,US,1580585565,69,45.02,-93.22,37.4,8.05
Salalah,20,OM,1580585432,56,17.02,54.09,71.6,4.7
Novo Aripuana,97,BR,1580585641,67,-5.12,-60.38,86.31,3.36
Raudeberg,69,NO,1580585643,71,61.99,5.14,37.0,5.82
Sibu,75,MY,1580585645,94,2.3,111.82,75.2,2.24
Sao Jose da Coroa Grande,95,BR,1580585646,80,-8.9,-35.15,81.79,13.53
Tura,0,IN,1580585647,55,25.52,90.22,54.16,0.92
Burgeo,100,CA,1580585648,76,47.62,-57.62,24.08,2.57
Tuatapere,100,NZ,1580585649,94,-46.13,167.68,59.0,17.0
Buraidah,0,SA,1580585651,37,26.33,43.98,50.0,6.67
Rawson,22,AR,1580585652,49,-43.3,-65.1,73.27,18.66
Coahuayana Viejo,75,MX,1580585653,42,18.73,-103.68,82.4,11.41
Pisco,40,PE,1580585655,30,-13.7,-76.22,73.99,11.41
Chowchilla,1,US,1580585656,67,37.12,-120.26,68.0,1.9
Bluff,100,NZ,1580585657,94,-46.6,168.33,59.0,17.0
Kumul,0,CN,1580585607,53,42.8,93.45,12.24,0.38
Bukachacha,0,RU,1580585659,91,52.98,116.92,-18.72,3.85
Te Anau,100,NZ,1580585661,98,-45.42,167.72,58.64,2.57
Busselton,0,AU,1580585662,50,-33.65,115.33,60.01,13.33
Usvyaty,100,RU,1580585663,95,55.75,30.75,37.54,9.28
Mandan,1,US,1580585418,70,46.83,-100.89,51.01,17.22
Miraflores,75,MX,1580585666,39,19.22,-98.81,78.8,5.82
Ribeira Grande,75,PT,1580585668,77,38.52,-28.7,59.0,10.29
Cabo San Lucas,75,MX,1580585671,49,22.89,-109.91,78.01,3.36
East London,20,ZA,1580585673,94,-33.02,27.91,75.2,4.7
Castro,0,BR,1580585674,94,-24.79,-50.01,73.72,2.68
San Quintin,0,MX,1580585675,31,30.48,-115.95,69.89,10.0
Anori,80,BR,1580585676,63,-3.77,-61.64,88.48,3.78
Zyryanovsk,100,KZ,1580585677,67,49.74,84.27,4.6,1.48
Faya,13,SA,1580585678,87,18.39,42.45,55.4,4.7
Hasaki,20,JP,1580585680,51,35.73,140.83,33.01,3.36
Maraba,40,BR,1580585508,66,-5.37,-49.12,89.6,4.7
Kavaratti,9,IN,1580585683,72,10.57,72.64,78.89,9.93
Tasiilaq,75,GL,1580585684,73,65.61,-37.64,21.2,25.28
City of San Pedro,20,PH,1580585582,78,14.35,121.02,73.4,9.91
Port Lincoln,47,AU,1580585686,64,-34.73,135.87,63.66,13.15
Yumen,0,CN,1580585688,52,40.28,97.2,17.82,9.24
Mar del Plata,20,AR,1580585689,26,-38.0,-57.56,91.4,13.87
Niamey,0,NE,1580585690,9,13.51,2.11,84.2,6.93
Hilo,90,US,1580585691,73,19.73,-155.09,73.99,5.82
Ambilobe,95,MG,1580585692,85,-13.2,49.05,74.34,3.18
Mandera,100,KE,1580585693,18,3.94,41.87,73.0,1.01
Oranjemund,55,NA,1580585694,91,-28.55,16.43,62.85,12.33
Betioky,0,MG,1580585695,80,-23.72,44.38,76.91,2.77
Ugoofaaru,0,MV,1580585698,77,5.67,73.0,80.64,15.52
Kununurra,100,AU,1580585699,94,-15.77,128.73,82.4,3.36
Erzin,81,TR,1580585477,93,36.96,36.2,41.0,4.7
Carnarvon,0,AU,1580585430,83,-24.87,113.63,75.2,12.75
Hervey Bay,40,AU,1580585702,94,-25.3,152.85,73.0,6.93
Nizhniy Chir,100,RU,1580585703,93,48.36,43.09,36.59,14.81
Mago,0,RU,1580585704,81,53.25,140.18,-15.07,0.83
Mizan Teferi,100,ET,1580585706,60,6.98,35.58,67.66,1.32
Santa Marta,20,CO,1580585586,53,11.24,-74.2,95.0,6.93
Bumba,13,CD,1580585708,64,2.18,22.47,75.49,1.34
Vardo,100,NO,1580585709,90,70.37,31.11,17.91,23.38
Riyadh,0,SA,1580585594,41,24.69,46.72,57.2,4.7
San Andres,40,CO,1580585439,70,12.58,-81.7,86.0,11.41
Eseka,45,CM,1580585712,91,3.65,10.77,71.76,3.13
Sinnamary,1,GF,1580585713,73,5.38,-52.95,79.0,14.45
Banda Aceh,83,ID,1580585715,88,5.56,95.32,74.39,3.36
Korla,0,CN,1580585716,72,41.76,86.15,12.58,5.97
Avarua,4,CK,1580585717,83,-21.21,-159.78,80.6,5.82
Port Elizabeth,75,ZA,1580585718,83,-33.92,25.57,73.4,11.41
Saint George,1,US,1580585506,39,37.1,-113.58,55.0,1.43
Svarstad,75,NO,1580585720,100,59.4,9.97,44.01,16.11
Mount Gambier,66,AU,1580585721,93,-37.83,140.77,51.8,8.05
Moerai,100,PF,1580585722,83,-22.43,-151.33,80.11,24.45
Butaritari,100,KI,1580585724,77,3.07,172.79,84.36,17.11
Kualakapuas,20,ID,1580585725,94,-3.01,114.39,78.8,2.24
Tiarei,75,PF,1580585726,78,-17.53,-149.33,80.6,9.17
Poum,100,NC,1580585727,82,-20.23,164.02,80.85,22.35
Sao Filipe,0,CV,1580585728,52,14.9,-24.5,76.01,8.34
Vestmanna,84,FO,1580585729,79,62.16,-7.17,32.0,2.24
Plouzane,90,FR,1580585730,93,48.38,-4.62,53.6,17.22
Umm Kaddadah,85,SD,1580585733,17,13.6,26.69,60.35,12.06
Indramayu,100,ID,1580585734,85,-6.33,108.32,77.54,2.06
Olga,4,RU,1580585736,57,43.74,135.29,21.31,16.08
Baijiantan,97,CN,1580585738,88,45.63,85.18,3.85,2.71
Clyde River,90,CA,1580585739,67,70.47,-68.59,-23.8,13.87
Haines Junction,100,CA,1580585740,96,60.75,-137.51,-4.36,5.95
Rio Claro,75,BR,1580585741,94,-22.41,-47.56,73.4,3.36
Dikson,0,RU,1580585744,95,73.51,80.55,-15.36,12.57
San Patricio,90,MX,1580585745,74,19.22,-104.7,82.4,5.32
Los Llanos de Aridane,0,ES,1580585746,31,28.66,-17.92,73.4,6.93
Wahiawa,75,US,1580585588,100,21.5,-158.02,75.2,5.82
Kalakamati,0,BW,1580585749,36,-20.59,27.31,78.8,6.93
Mahebourg,40,MU,1580585751,78,-20.41,57.7,80.6,10.29
Rundu,93,NA,1580585753,58,-17.93,19.77,72.14,3.2
Tuktoyaktuk,90,CA,1580585755,68,69.45,-133.04,-18.4,11.41
Qaqortoq,5,GL,1580585757,45,60.72,-46.03,3.2,7.31
Saquarema,40,BR,1580585758,74,-22.92,-42.51,86.0,5.82
Chifeng,100,CN,1580585759,59,42.27,118.96,12.09,5.1
Souillac,40,MU,1580585762,78,-20.52,57.52,80.6,10.29
Geraldton,0,AU,1580585763,59,-28.77,114.6,66.2,16.11
Chiredzi,73,ZW,1580585764,58,-21.05,31.67,76.06,5.46
Mount Isa,100,AU,1580585765,100,-20.73,139.5,77.0,3.62
Cidreira,0,BR,1580585766,73,-30.18,-50.21,75.13,12.39
Pangody,100,RU,1580585767,91,65.85,74.49,-9.98,21.32
Rabo de Peixe,75,PT,1580585768,93,37.8,-25.58,59.0,3.36
Sisimiut,100,GL,1580585769,90,66.94,-53.67,-2.9,4.0
Mariehamn,90,AX,1580585771,87,60.1,19.93,42.8,11.41
Kalevala,100,RU,1580585772,93,65.2,31.17,6.48,11.21
Aitape,100,PG,1580585773,79,-3.14,142.35,79.29,9.22
Mariinsk,100,RU,1580585774,95,56.21,87.75,4.14,3.33
Siocon,100,PH,1580585775,81,7.71,122.14,77.16,7.38
Ponta do Sol,0,PT,1580585776,45,32.67,-17.1,68.0,10.29
Inhambane,20,MZ,1580585777,74,-23.86,35.38,80.6,15.01
Vao,100,NC,1580585778,82,-22.67,167.48,79.61,12.82
Yenotayevka,17,RU,1580585779,80,47.25,47.03,32.95,4.63
Voznesenye,100,RU,1580585781,86,61.01,35.48,25.59,12.26
Khatanga,55,RU,1580585782,96,71.97,102.5,-29.36,10.8
Atuona,0,PF,1580585783,75,-9.8,-139.03,81.57,18.92
Tiksi,13,RU,1580585784,84,71.69,128.87,-26.43,5.37
Airai,100,TL,1580585785,88,-8.93,125.41,66.78,3.31
Touros,40,BR,1580585786,74,-5.2,-35.46,84.2,13.87
Cherskiy,100,RU,1580585787,98,68.75,161.3,-32.76,4.16
Adrar,0,MR,1580585788,10,20.5,-10.07,70.05,11.16
Husavik,40,IS,1580585789,85,66.04,-17.34,19.4,3.36
Itarema,0,BR,1580585791,79,-2.92,-39.92,77.81,5.14
Ucluelet,20,CA,1580585792,70,48.93,-125.55,43.0,13.87
Kirakira,79,SB,1580585793,78,-10.45,161.92,80.92,2.26
Honningsvag,100,NO,1580585794,80,70.98,25.97,21.09,21.36
Knysna,100,ZA,1580585795,94,-34.04,23.05,68.0,13.87
Constitucion,46,CL,1580585796,74,-35.33,-72.42,66.43,15.21
Leh,0,IN,1580585797,45,34.17,77.58,-15.2,2.48
Pitimbu,20,BR,1580585798,74,-7.47,-34.81,84.2,9.17
Taoudenni,0,ML,1580585800,16,22.68,-3.98,67.82,9.48
Port Blair,61,IN,1580585801,79,11.67,92.75,79.57,13.89
Veinticinco de Mayo,0,AR,1580585802,29,-35.43,-60.17,97.0,3.0
Bengkulu,99,ID,1580585803,94,-3.8,102.27,72.77,4.07
Kindu,73,CD,1580585804,87,-2.95,25.95,70.95,1.52
Port Pirie,40,AU,1580585805,77,-33.18,138.02,59.0,10.29
Paita,40,PE,1580585806,100,-5.09,-81.11,62.6,12.75
Srednekolymsk,100,RU,1580585807,98,67.45,153.68,-24.57,3.85
Cabedelo,20,BR,1580585808,74,-6.98,-34.83,84.2,9.17
Ust-Maya,100,RU,1580585811,95,60.42,134.53,-17.1,4.05
Ancud,75,CL,1580585630,82,-41.87,-73.82,57.2,12.75
Dromolaxia,20,CY,1580585814,66,34.88,33.59,53.6,6.93
Stornoway,3,GB,1580585815,80,58.21,-6.39,35.01,3.36
Codrington,75,AU,1580585817,76,-38.27,141.97,62.13,26.02
Beringovskiy,14,RU,1580585818,91,63.05,179.32,-24.65,18.05
Taybad,0,IR,1580585821,41,34.74,60.78,46.31,31.21
Dashitou,0,CN,1580585822,94,43.31,128.51,-0.96,3.94
Nikolskoye,90,RU,1580585823,92,59.7,30.79,30.99,13.42
Kodiak,1,US,1580585824,44,57.79,-152.41,19.4,14.99
Marrakesh,97,MA,1580585825,38,31.63,-8.01,66.2,4.7
Sobolevo,100,RU,1580585826,97,54.43,31.9,35.42,13.6
Provideniya,82,RU,1580585827,93,64.38,-173.3,-16.98,11.3
Kingaroy,0,AU,1580585829,100,-26.53,151.83,69.01,1.12
Necochea,76,AR,1580585809,43,-38.55,-58.74,89.01,11.01
Sur,2,OM,1580585832,59,22.57,59.53,65.57,5.59
Palmer,90,US,1580585833,100,42.16,-72.33,39.0,3.36
Piacabucu,96,BR,1580585834,77,-10.41,-36.43,80.76,9.33
Basoko,68,CD,1580585835,69,1.24,23.62,75.94,3.18
Corrente,45,BR,1580585836,92,-3.74,-43.34,78.03,4.27
Nago,1,JP,1580585837,81,26.59,127.98,60.8,3.36
Dondo,20,MZ,1580585839,74,-19.61,34.74,82.4,10.29
Ilebo,100,CD,1580585840,96,-4.32,20.58,71.69,0.56
Cayenne,85,GF,1580585841,58,4.93,-52.33,86.0,12.75
Karimganj,0,IN,1580585842,75,24.87,92.35,53.53,2.48
Pedasi,5,PA,1580585843,68,7.53,-80.03,84.25,8.23
Chennai,20,IN,1580585762,78,13.09,80.28,78.8,3.36
Bend,75,US,1580585725,54,44.06,-121.32,57.2,11.41
Nabire,85,ID,1580585846,97,-3.37,135.48,72.55,2.19
Norman Wells,75,CA,1580585848,68,65.28,-126.83,-20.2,11.41
Uchiza,10,PE,1580585849,78,-8.46,-76.46,75.22,1.77
Anadyr,40,RU,1580585850,65,64.75,177.48,-40.0,11.18
Nan,1,TH,1580585851,67,18.83,100.67,61.52,2.17
Taganak,20,PH,1580585852,78,6.08,118.3,80.6,6.93
Lompoc,1,US,1580585853,35,34.64,-120.46,77.0,3.36
Broome,90,US,1580585854,80,42.25,-75.83,37.0,6.93
Hambantota,5,LK,1580585855,100,6.12,81.12,73.4,9.17
Djebeniana,20,TN,1580585857,82,35.03,10.91,57.2,2.24
Kongoussi,43,BF,1580585858,10,13.33,-1.53,76.17,10.47
Dauphin,1,CA,1580585859,93,51.15,-100.05,32.0,6.93
Lorengau,78,PG,1580585860,79,-2.02,147.27,83.57,15.79
Okato,68,NZ,1580585861,83,-39.2,173.88,66.99,4.0
Avera,90,US,1580585862,93,33.19,-82.53,50.0,8.05
Mareeba,100,AU,1580585863,88,-17.0,145.43,77.0,8.05
Bethel,90,US,1580585864,93,41.37,-73.41,42.01,1.61
Narsaq,5,GL,1580585865,45,60.92,-46.05,3.2,4.61
West Point,90,US,1580585867,66,33.61,-88.65,52.0,8.05
Santa Cruz del Sur,0,CU,1580585868,78,20.71,-78.0,79.63,12.08
Matara,100,LK,1580585804,79,5.95,80.54,72.14,10.74
Roald,75,NO,1580585871,86,62.58,6.13,37.4,3.36
Yangi Marg`ilon,89,UZ,1580585872,41,40.43,71.72,33.8,4.7
Richards Bay,99,ZA,1580585873,82,-28.78,32.04,78.66,15.7
Mossamedes,54,AO,1580585874,89,-15.2,12.15,75.58,13.44
Kudahuvadhoo,98,MV,1580585876,71,2.67,72.89,81.81,10.54
Tamandare,100,BR,1580585877,80,-8.76,-35.1,81.88,12.75
Hualmay,87,PE,1580585878,58,-11.1,-77.61,79.88,10.63
Witu,78,KE,1580585879,87,-2.39,40.44,79.11,6.38
Atar,0,MR,1580585880,10,20.52,-13.05,70.2,10.36
Am Timan,12,TD,1580585882,14,11.03,20.28,70.29,4.34
San Vicente,53,AR,1580585883,70,-26.62,-54.13,84.99,1.32
Severobaykalsk,100,RU,1580585885,92,55.65,109.32,0.36,11.39
Saldanha,46,ZA,1580585886,72,-33.01,17.94,68.0,8.05
Liaocheng,100,CN,1580585887,71,36.44,115.96,38.91,1.68
Maltahohe,100,NA,1580585888,27,-24.83,16.98,75.85,12.95
Nayoro,11,JP,1580585889,97,44.35,142.46,0.34,1.72
Northam,73,GB,1580585890,81,51.03,-4.22,46.99,5.82
Vanavara,93,RU,1580585891,98,60.34,102.28,-27.22,1.52
Grindavik,20,IS,1580585892,86,63.84,-22.43,28.4,4.7
Dicabisagan,100,PH,1580585894,87,17.08,122.42,68.4,8.28
Biak,100,ID,1580585895,74,-0.91,122.88,81.27,7.83
Puerto del Rosario,0,ES,1580585896,82,28.5,-13.86,69.8,9.17
Christchurch,100,NZ,1580585614,34,-43.53,172.63,82.0,26.4
Isangel,90,VU,1580585898,83,-19.55,169.27,80.6,9.17
San Felipe,69,VE,1580585899,66,10.34,-68.74,81.77,10.22
Brae,84,GB,1580585900,65,60.4,-1.35,39.2,18.34
Khokhlovo,90,RU,1580585901,92,59.15,37.4,28.4,6.71
Locri,40,IT,1580585902,93,38.24,16.26,55.99,2.24
Gouyave,20,GD,1580585904,70,12.16,-61.73,84.2,14.99
Inongo,100,CD,1580585905,73,-1.95,18.27,77.63,2.75
Port Hedland,0,AU,1580585906,83,-20.32,118.57,78.8,12.75
Lagoa,100,PT,1580585907,73,39.05,-27.98,59.05,16.42
Takoradze,84,GH,1580585908,83,4.88,-1.76,79.23,2.46
Westport,90,US,1580585642,86,41.14,-73.36,43.0,6.93
Talnakh,40,RU,1580585910,73,69.49,88.4,-31.0,4.47
Giohar,100,SO,1580585912,74,2.78,45.5,75.22,19.1
